X,Y,RETICLE_SHOT,COL|ROW
-10.144,-68.309,S-3_-1,C5R5
9.288,-65.309,S-3_-1,C6R0
4.106,-65.309,S-3_-1,C6R1
-1.076,-65.309,S-3_-1,C6R2
-4.962,-65.309,S-3_-1,C6R3
-7.553,-65.309,S-3_-1,C6R4
-10.144,-65.309,S-3_-1,C6R5
9.288,-63.309,S-3_-1,C7R0
4.106,-63.309,S-3_-1,C7R1
-1.076,-63.309,S-3_-1,C7R2
-4.962,-63.309,S-3_-1,C7R3
-7.553,-63.309,S-3_-1,C7R4
-10.144,-63.309,S-3_-1,C7R5
9.288,-61.309,S-3_-1,C8R0
4.106,-61.309,S-3_-1,C8R1
-1.076,-61.309,S-3_-1,C8R2
-4.962,-61.309,S-3_-1,C8R3
-7.553,-61.309,S-3_-1,C8R4
-10.144,-61.309,S-3_-1,C8R5
-14.47,-88.309,S-3_0,C0R0
-19.652,-88.309,S-3_0,C0R1
-24.834,-88.309,S-3_0,C0R2
-28.721,-88.309,S-3_0,C0R3
-31.311,-88.309,S-3_0,C0R4
-33.902,-88.309,S-3_0,C0R5
-14.47,-84.309,S-3_0,C1R0
-19.652,-84.309,S-3_0,C1R1
-24.834,-84.309,S-3_0,C1R2
-28.721,-84.309,S-3_0,C1R3
-31.311,-84.309,S-3_0,C1R4
-33.902,-84.309,S-3_0,C1R5
-14.47,-80.309,S-3_0,C2R0
-19.652,-80.309,S-3_0,C2R1
-24.834,-80.309,S-3_0,C2R2
-28.721,-80.309,S-3_0,C2R3
-31.311,-80.309,S-3_0,C2R4
-33.902,-80.309,S-3_0,C2R5
-14.47,-76.309,S-3_0,C3R0
-19.652,-76.309,S-3_0,C3R1
-24.834,-76.309,S-3_0,C3R2
-28.721,-76.309,S-3_0,C3R3
-31.311,-76.309,S-3_0,C3R4
-33.902,-76.309,S-3_0,C3R5
-14.47,-72.309,S-3_0,C4R0
-19.652,-72.309,S-3_0,C4R1
-24.834,-72.309,S-3_0,C4R2
-28.721,-72.309,S-3_0,C4R3
-31.311,-72.309,S-3_0,C4R4
-33.902,-72.309,S-3_0,C4R5
-14.47,-68.309,S-3_0,C5R0
-19.652,-68.309,S-3_0,C5R1
-24.834,-68.309,S-3_0,C5R2
-28.721,-68.309,S-3_0,C5R3
-31.311,-68.309,S-3_0,C5R4
-33.902,-68.309,S-3_0,C5R5
-14.47,-65.309,S-3_0,C6R0
-19.652,-65.309,S-3_0,C6R1
-24.834,-65.309,S-3_0,C6R2
-28.721,-65.309,S-3_0,C6R3
-31.311,-65.309,S-3_0,C6R4
-33.902,-65.309,S-3_0,C6R5
-14.47,-63.309,S-3_0,C7R0
-19.652,-63.309,S-3_0,C7R1
-24.834,-63.309,S-3_0,C7R2
-28.721,-63.309,S-3_0,C7R3
-31.311,-63.309,S-3_0,C7R4
-33.902,-63.309,S-3_0,C7R5
-14.47,-61.309,S-3_0,C8R0
-19.652,-61.309,S-3_0,C8R1
-24.834,-61.309,S-3_0,C8R2
-28.721,-61.309,S-3_0,C8R3
-31.311,-61.309,S-3_0,C8R4
-33.902,-61.309,S-3_0,C8R5
-38.228,-84.309,S-3_1,C1R0
-38.228,-80.309,S-3_1,C2R0
-43.41,-80.309,S-3_1,C2R1
-48.592,-80.309,S-3_1,C2R2
-38.228,-76.309,S-3_1,C3R0
-43.41,-76.309,S-3_1,C3R1
-48.592,-76.309,S-3_1,C3R2
-52.478,-76.309,S-3_1,C3R3
-55.069,-76.309,S-3_1,C3R4
-38.228,-72.309,S-3_1,C4R0
-43.41,-72.309,S-3_1,C4R1
-48.592,-72.309,S-3_1,C4R2
-52.478,-72.309,S-3_1,C4R3
-55.069,-72.309,S-3_1,C4R4
-57.66,-72.309,S-3_1,C4R5
-38.228,-68.309,S-3_1,C5R0
-43.41,-68.309,S-3_1,C5R1
-48.592,-68.309,S-3_1,C5R2
-52.478,-68.309,S-3_1,C5R3
-55.069,-68.309,S-3_1,C5R4
-57.66,-68.309,S-3_1,C5R5
-38.228,-65.309,S-3_1,C6R0
-43.41,-65.309,S-3_1,C6R1
-48.592,-65.309,S-3_1,C6R2
-52.478,-65.309,S-3_1,C6R3
-55.069,-65.309,S-3_1,C6R4
-57.66,-65.309,S-3_1,C6R5
-38.228,-63.309,S-3_1,C7R0
-43.41,-63.309,S-3_1,C7R1
-48.592,-63.309,S-3_1,C7R2
-52.478,-63.309,S-3_1,C7R3
-55.069,-63.309,S-3_1,C7R4
-57.66,-63.309,S-3_1,C7R5
-38.228,-61.309,S-3_1,C8R0
-43.41,-61.309,S-3_1,C8R1
-48.592,-61.309,S-3_1,C8R2
-52.478,-61.309,S-3_1,C8R3
-55.069,-61.309,S-3_1,C8R4
-57.66,-61.309,S-3_1,C8R5
70.198,-58.185,S-2_-4,C0R2
66.311,-58.185,S-2_-4,C0R3
63.721,-58.185,S-2_-4,C0R4
61.13,-58.185,S-2_-4,C0R5
75.38,-54.185,S-2_-4,C1R1
70.198,-54.185,S-2_-4,C1R2
66.311,-54.185,S-2_-4,C1R3
63.721,-54.185,S-2_-4,C1R4
61.13,-54.185,S-2_-4,C1R5
75.38,-50.185,S-2_-4,C2R1
70.198,-50.185,S-2_-4,C2R2
66.311,-50.185,S-2_-4,C2R3
63.721,-50.185,S-2_-4,C2R4
61.13,-50.185,S-2_-4,C2R5
80.562,-46.185,S-2_-4,C3R0
75.38,-46.185,S-2_-4,C3R1
70.198,-46.185,S-2_-4,C3R2
66.311,-46.185,S-2_-4,C3R3
63.721,-46.185,S-2_-4,C3R4
61.13,-46.185,S-2_-4,C3R5
80.562,-42.185,S-2_-4,C4R0
75.38,-42.185,S-2_-4,C4R1
70.198,-42.185,S-2_-4,C4R2
66.311,-42.185,S-2_-4,C4R3
63.721,-42.185,S-2_-4,C4R4
61.13,-42.185,S-2_-4,C4R5
80.562,-38.185,S-2_-4,C5R0
75.38,-38.185,S-2_-4,C5R1
70.198,-38.185,S-2_-4,C5R2
66.311,-38.185,S-2_-4,C5R3
63.721,-38.185,S-2_-4,C5R4
61.13,-38.185,S-2_-4,C5R5
80.562,-35.185,S-2_-4,C6R0
75.38,-35.185,S-2_-4,C6R1
70.198,-35.185,S-2_-4,C6R2
66.311,-35.185,S-2_-4,C6R3
63.721,-35.185,S-2_-4,C6R4
61.13,-35.185,S-2_-4,C6R5
80.562,-33.185,S-2_-4,C7R0
75.38,-33.185,S-2_-4,C7R1
70.198,-33.185,S-2_-4,C7R2
66.311,-33.185,S-2_-4,C7R3
63.721,-33.185,S-2_-4,C7R4
61.13,-33.185,S-2_-4,C7R5
80.562,-31.185,S-2_-4,C8R0
75.38,-31.185,S-2_-4,C8R1
70.198,-31.185,S-2_-4,C8R2
66.311,-31.185,S-2_-4,C8R3
63.721,-31.185,S-2_-4,C8R4
61.13,-31.185,S-2_-4,C8R5
56.804,-58.185,S-2_-3,C0R0
51.622,-58.185,S-2_-3,C0R1
46.44,-58.185,S-2_-3,C0R2
42.554,-58.185,S-2_-3,C0R3
39.963,-58.185,S-2_-3,C0R4
37.372,-58.185,S-2_-3,C0R5
56.804,-54.185,S-2_-3,C1R0
51.622,-54.185,S-2_-3,C1R1
46.44,-54.185,S-2_-3,C1R2
42.554,-54.185,S-2_-3,C1R3
39.963,-54.185,S-2_-3,C1R4
37.372,-54.185,S-2_-3,C1R5
56.804,-50.185,S-2_-3,C2R0
51.622,-50.185,S-2_-3,C2R1
46.44,-50.185,S-2_-3,C2R2
42.554,-50.185,S-2_-3,C2R3
39.963,-50.185,S-2_-3,C2R4
37.372,-50.185,S-2_-3,C2R5
56.804,-46.185,S-2_-3,C3R0
51.622,-46.185,S-2_-3,C3R1
46.44,-46.185,S-2_-3,C3R2
42.554,-46.185,S-2_-3,C3R3
39.963,-46.185,S-2_-3,C3R4
37.372,-46.185,S-2_-3,C3R5
56.804,-42.185,S-2_-3,C4R0
51.622,-42.185,S-2_-3,C4R1
46.44,-42.185,S-2_-3,C4R2
42.554,-42.185,S-2_-3,C4R3
39.963,-42.185,S-2_-3,C4R4
37.372,-42.185,S-2_-3,C4R5
56.804,-38.185,S-2_-3,C5R0
51.622,-38.185,S-2_-3,C5R1
46.44,-38.185,S-2_-3,C5R2
42.554,-38.185,S-2_-3,C5R3
39.963,-38.185,S-2_-3,C5R4
37.372,-38.185,S-2_-3,C5R5
56.804,-35.185,S-2_-3,C6R0
51.622,-35.185,S-2_-3,C6R1
46.44,-35.185,S-2_-3,C6R2
42.554,-35.185,S-2_-3,C6R3
39.963,-35.185,S-2_-3,C6R4
37.372,-35.185,S-2_-3,C6R5
56.804,-33.185,S-2_-3,C7R0
51.622,-33.185,S-2_-3,C7R1
46.44,-33.185,S-2_-3,C7R2
42.554,-33.185,S-2_-3,C7R3
39.963,-33.185,S-2_-3,C7R4
37.372,-33.185,S-2_-3,C7R5
56.804,-31.185,S-2_-3,C8R0
51.622,-31.185,S-2_-3,C8R1
46.44,-31.185,S-2_-3,C8R2
42.554,-31.185,S-2_-3,C8R3
39.963,-31.185,S-2_-3,C8R4
37.372,-31.185,S-2_-3,C8R5
33.046,-58.185,S-2_-2,C0R0
27.864,-58.185,S-2_-2,C0R1
22.682,-58.185,S-2_-2,C0R2
18.796,-58.185,S-2_-2,C0R3
16.205,-58.185,S-2_-2,C0R4
13.614,-58.185,S-2_-2,C0R5
33.046,-54.185,S-2_-2,C1R0
27.864,-54.185,S-2_-2,C1R1
22.682,-54.185,S-2_-2,C1R2
18.796,-54.185,S-2_-2,C1R3
16.205,-54.185,S-2_-2,C1R4
13.614,-54.185,S-2_-2,C1R5
33.046,-50.185,S-2_-2,C2R0
27.864,-50.185,S-2_-2,C2R1
22.682,-50.185,S-2_-2,C2R2
18.796,-50.185,S-2_-2,C2R3
16.205,-50.185,S-2_-2,C2R4
13.614,-50.185,S-2_-2,C2R5
33.046,-46.185,S-2_-2,C3R0
27.864,-46.185,S-2_-2,C3R1
22.682,-46.185,S-2_-2,C3R2
18.796,-46.185,S-2_-2,C3R3
16.205,-46.185,S-2_-2,C3R4
13.614,-46.185,S-2_-2,C3R5
33.046,-42.185,S-2_-2,C4R0
27.864,-42.185,S-2_-2,C4R1
22.682,-42.185,S-2_-2,C4R2
18.796,-42.185,S-2_-2,C4R3
16.205,-42.185,S-2_-2,C4R4
13.614,-42.185,S-2_-2,C4R5
33.046,-38.185,S-2_-2,C5R0
27.864,-38.185,S-2_-2,C5R1
22.682,-38.185,S-2_-2,C5R2
18.796,-38.185,S-2_-2,C5R3
16.205,-38.185,S-2_-2,C5R4
13.614,-38.185,S-2_-2,C5R5
33.046,-35.185,S-2_-2,C6R0
27.864,-35.185,S-2_-2,C6R1
22.682,-35.185,S-2_-2,C6R2
18.796,-35.185,S-2_-2,C6R3
16.205,-35.185,S-2_-2,C6R4
